#,Coin,Market Cap,,Price,Supply,Unit,Volume,Change(24hr),MarketCap / Total MarketCap (%),Volume / MarketCap (%),Volume / TotalVolume (%) ,InversePrice
1,Bitcoin,8604127388.0,,695.55,5.0,12,44600530.0,4.90,76.2906593136,0.518362037064,76.9755054081,0.00143771116383
2,Ripple,1788071851.0,,0.018,9.0,99,82007.0,5.36,15.8543887441,0.00458633695028,0.141534871267,55.5555555556
3,Litecoin,473926646.0,,18.55,13.0,25,8138112.0,2.84,4.20218979324,1.71716700647,14.0454672684,0.0539083557951
4,PPCoin,99759956.0,,4.72,17.0,21,1233217.0,6.14,0.884546738225,1.23618438645,2.12839403148,0.21186440678
5,DogeCoin,51808827.0,,0.0011,21.0,45,836731.0,1.18,0.459375993852,1.61503560001,1.44410372737,909.090909091
6,Nxt,48141230.0,,0.048,25.0,999,117224.0,8.73,0.426856322698,0.243500218004,0.20231545782,20.8333333333
7,MasterCoin,35645703.0,,63.30,29.0,563,2398.0,4.65,0.316061590087,0.0067273185775,0.00413867866522,0.0157977883096
8,Namecoin,34666725.0,,4.34,33.0,7,1075494.0,6.25,0.30738123545,3.10238131811,1.85618184836,0.230414746544
9,Quarkcoin,19347085.0,,0.078,37.0,247,107853.0,3.98,0.171545794697,0.557463824654,0.186142164337,12.8205128205
10,ProtoShares,15741912.0,,10.93,41.0,1,21592.0,2.24,0.139579621637,0.137162499701,0.0372653668638,0.0914913083257
11,MegaCoin,10966268.0,,0.50,45.0,22,20280.0,7.06,0.097235173098,0.184930734868,0.035001002223,2.0
12,Primecoin,10091055.0,,2.32,49.0,4,173528.0,6.46,0.0894748769286,1.71962198204,0.299489837956,0.431034482759
13,Infinitecoin,8741654.0,,9.7,5.0,53,29439.0,5.31,0.077510073605,0.336766932208,0.0508084075169,0.103092783505
14,Worldcoin,8428172.0,,0.19,57.0,43,142750.0,11.92,0.0747305066153,1.69372433311,0.246370466831,5.26315789474
15,Novacoin,7055279.0,,10.11,61.0,697,35744.0,2.62,0.0625574055658,0.506627732227,0.0616901293618,0.0989119683482
16,Feathercoin,7016054.0,,0.22,65.0,32,85346.0,4.90,0.0622096072387,1.21643875603,0.147297610243,4.54545454545
17,Vertcoin,6328933.0,,4.00,69.0,1,436083.0,19.83,0.0561170760901,6.89030836635,0.752630278718,0.25
18,YbCoin,3545379.0,,3.48,73.0,1,594.0,+9.31,0.0314359945209,0.0167542031473,0.00102517728405,0.287356321839
19,Tickets,3197584.0,,4.8,5.0,66,3149.0,0.13,0.0283521826874,0.0984806028552,0.00543482031559,0.208333333333
20,Zetacoin,2689894.0,,0.017,80.0,160,25133.0,5.63,0.0238506216249,0.934349085875,0.0433767351514,58.8235294118
21,Digitalcoin,2676711.0,,0.20,84.0,13,15257.0,7.04,0.02373373124,0.56999055931,0.0263318683884,5.0
22,Devcoin,2517118.0,,0.0004,88.0,6,5065.0,4.00,0.0223186597699,0.201222191411,0.00874162111733,2500.0
23,Mooncoin,2217214.0,,8.3,5.0,92,78518.0,+2.74,0.0196594855319,3.54129100754,0.135513249139,0.120481927711
24,NetCoin,1849301.0,,0.0084,96.0,219,8103.0,8.90,0.016397292392,0.438165555526,0.0139848679,119.047619048
25,Kittehcoin,1798728.0,,0.00029,100.0,6,89892.0,2.29,0.0159488741691,4.99753158899,0.155143495652,3448.27586207
26,Anoncoin,1738103.0,,2.41,104.0,720,13705.0,8.08,0.0154113273601,0.788503328054,0.0236532907034,0.414937759336
27,IXCoin,1632939.0,,0.09,108.0,18,843.0,+10.27,0.0144788643067,0.0516247085776,0.00145492331726,11.1111111111
28,Unobtanium,1531584.0,,10.29,112.0,148,142446.0,+12.88,0.0135801747098,9.30056725586,0.245845796975,0.0971817298348
29,Freicoin,1436574.0,,0.039,116.0,37,1180.0,3.71,0.012737744651,0.0821398688825,0.00203654746662,25.641025641
30,Copperlark,1273892.0,,0.21,120.0,6,1079.0,3.03,0.0112952837855,0.0847010578605,0.00186223281058,4.7619047619
31,Terracoin,1213957.0,,0.24,124.0,5,19900.0,7.10,0.0107638550351,1.63926728871,0.0343451649032,4.16666666667
32,FedoraCoin,1022980.0,,8,6.0,128,26390.0,10.24,0.00907050943637,2.57971807855,0.0455461759696,0.125
34,SecureCoin,1001815.0,,0.85,136.0,1,3886.0,2.78,0.00888284464114,0.387895968817,0.00670679953839,1.17647058824
35,EarthCoin,982200.0,,0.00082,140.0,1,27086.0,7.87,0.00870892331072,2.75768682549,0.0467473937974,1219.51219512
36,LeafCoin,872150.0,,0.0001,144.0,8,17044.0,16.48,0.00773313730956,1.95425098894,0.0294160296789,10000.0
37,TagCoin,858693.0,,1.03,148.0,835,3287.0,2.22,0.00761381743479,0.382791055709,0.00567299281592,0.970873786408
38,LottoCoin,796758.0,,0.00013,152.0,6,25032.0,3.09,0.00706465518143,3.1417318684,0.0432024204953,7692.30769231
39,CryptogenicBullion,725663.0,,0.77,156.0,940,12972.0,5.04,0.00643427348445,1.78760664386,0.0223882150314,1.2987012987
40,BBQCoin,719065.0,,0.023,160.0,31,1474.0,2.77,0.00637577065814,0.204988422465,0.0025439584456,43.4782608696
41,Sexcoin,702727.0,,0.012,164.0,58,5502.0,+2.31,0.00623090567234,0.78294985108,0.00949583403505,83.3333333333
42,GoldCoin,645262.0,,0.022,168.0,29,2234.0,+1.23,0.00572137779813,0.346215955689,0.00385563308512,45.4545454545
43,Extremecoin,545688.0,,0.16,172.0,3,4.0,5.56,0.00483847988554,0.000733019600944,6.90355073432e-06,6.25
44,Frozen,510105.0,,0.092,176.0,5,4491.0,12.73,0.00452297426737,0.880406975035,0.00775096158695,10.8695652174
45,MemoryCoin,483188.0,,0.13,180.0,3,7026.0,11.09,0.00428430791759,1.45409240296,0.0121260868648,7.69230769231
46,DigiByte,478181.0,,0.0011,184.0,454,16471.0,14.30,0.0042399120929,3.44451159707,0.0284270960362,909.090909091
47,BitBar,477975.0,,49.59,188.0,9,5124.0,11.84,0.00423808554209,1.07202259532,0.00884344849066,0.0201653559185
48,SmartCoin,404346.0,,0.19,192.0,2,111420.0,+118.63,0.00358523549684,27.5556083157,0.192298405704,5.26315789474
49,Fastcoin,367596.0,,0.0064,196.0,57,4474.0,3.66,0.00325938237969,1.21709703044,0.00772162149633,156.25
