#,Coin,Market Cap,,Price,Supply,Unit,Volume,Change(24hr),MarketCap / Total MarketCap (%),Volume / MarketCap (%),Volume / TotalVolume (%) ,InversePrice,Supply/Total MarketCap(%) Volume,Supply/MarketCap(%),Supply/TotalVolume(%)
1,Bitcoin,7685722366.0,,618.16,8.0,12,34894520.0,8.96,76.3703621811,0.45401744089,70.0118709825,0.00161770415426,7.94932302201e-08,1.04089109898e-07,1.60510867569e-05
2,Ripple,1564810522.0,,0.016,12.0,99,86158.0,5.33,15.5489803845,0.00550597013432,0.1728661916,62.5,1.1923984533e-07,7.66866009098e-07,2.40766301353e-05
3,Litecoin,394796562.0,,15.21,16.0,25,7588993.0,10.13,3.92295674915,1.92225407475,15.2264481301,0.0657462195924,1.5898646044e-07,4.05272019567e-06,3.21021735138e-05
4,PPCoin,82917413.0,,3.92,20.0,21,657678.0,8.31,0.823921625108,0.793172358139,1.31955582951,0.255102040816,1.9873307555e-07,2.41203859074e-05,4.01277168922e-05
5,DogeCoin,67759005.0,,0.0013,24.0,53,1726169.0,6.21,0.673297772994,2.54751231958,3.46336104701,769.230769231,2.3847969066e-07,3.54196464367e-05,4.81532602707e-05
6,Nxt,55375539.0,,0.055,28.0,999,134349.0,6.74,0.550247558786,0.24261434277,0.269555931838,18.1818181818,2.7822630577e-07,5.05638419158e-05,5.61788036491e-05
7,MasterCoin,32337277.0,,57.42,32.0,563,991.0,25.31,0.321324325657,0.00306457467028,0.00198832837201,0.0174155346569,3.17972920881e-07,9.89570024712e-05,6.42043470275e-05
8,Namecoin,29188724.0,,3.6,36.0,8,674237.0,10.95,0.290038244595,2.30992283184,1.35277957271,0.277777777778,3.57719535991e-07,0.000123335298933,7.2229890406e-05
9,ProtoShares,24463794.0,,15.98,40.0,1,1046712.0,-2.96,0.243088251062,4.27861679999,2.10010814018,0.0625782227785,3.97466151101e-07,0.000163506936005,8.02554337844e-05
11,Quarkcoin,15621797.0,,0.063,48.0,247,114503.0,6.69,0.155228388172,0.732969452874,0.229737198365,15.873015873,4.76959381321e-07,0.000307262986454,9.63065205413e-05
12,MegaCoin,9556157.0,,0.43,52.0,22,493996.0,33.33,0.0949562235526,5.16940020973,0.991146581694,2.32558139535,5.16705996431e-07,0.000544151796585,0.00010433206392
13,Feathercoin,9301659.0,,0.27,56.0,34,56257.0,9.45,0.0924273650395,0.604806088892,0.11287324846,3.7037037037,5.56452611541e-07,0.000602043140906,0.000112357607298
14,Primecoin,8716676.0,,1.92,60.0,4,90982.0,11.39,0.0866145915028,1.04376943688,0.182544996914,0.520833333333,5.96199226651e-07,0.000688335783044,0.000120383150677
15,Infinitecoin,7643993.0,,8.5e-05,64.0,90,147848.0,8.26,0.0759557119188,1.93417236253,0.296640134354,11764.7058824,6.35945841761e-07,0.000837258746836,0.000128408694055
16,Worldcoin,6177211.0,,0.13,68.0,45,153814.0,15.85,0.0613808070177,2.49002341024,0.308610232303,7.69230769231,6.75692456871e-07,0.00110082041879,0.000136434237434
17,Novacoin,6104865.0,,8.56,72.0,712,33045.0,7.01,0.0606619298635,0.541289610827,0.0663010202352,0.116822429907,7.15439071981e-07,0.00117938725918,0.000144459780812
18,Vertcoin,4006687.0,,2.0,76.0,2,123267.0,4.8,0.0398130615139,3.07653180795,0.247321163908,0.5,7.55185687091e-07,0.00189682897616,0.00015248532419
19,MaxCoin,3907587.0,,0.86,80.0,4,344487.0,12.39,0.0388283391245,8.81584978146,0.691173840452,1.16279069767,7.94932302201e-07,0.00204729926679,0.000160510867569
20,DarkCoin,3486805.0,,1.02,84.0,3,108007.0,-8.06,0.0346471740747,3.09759220834,0.216703715919,0.980392156863,8.34678917311e-07,0.00240908224004,0.000168536410947
21,YbCoin,3416524.0,,3.14,88.0,1,59484.0,-1.25,0.0339488161106,1.74106782215,0.119347855581,0.31847133758,8.74425532421e-07,0.002575717308,0.000176561954326
22,Tickets,2705690.0,,4e-05,66876281414.0,TIX,47064.0,5.46,0.0268855047593,1.73944539101,0.0944285433908,25000.0,664.526454339,2471690.45286,134179.624369
23,Devcoin,2631031.0,,0.00041,95.0,6,72127.0,5.66,0.0261436441249,2.74139681364,0.144714591814,2439.02439024,9.43982108864e-07,0.00361075183075,0.000190606655238
24,Freicoin,2119578.0,,0.055,99.0,38,15630.0,20.36,0.0210615127404,0.73741093746,0.0313598107513,18.1818181818,9.83728723974e-07,0.00467074106261,0.000198632198616
25,Digitalcoin,2114466.0,,0.16,103.0,13,32179.0,-4.34,0.0210107165663,1.52184996117,0.0645634900937,6.25,1.02347533908e-06,0.00487120625255,0.000206657741995
26,Zetacoin,2074810.0,,0.013,107.0,160,16203.0,3.76,0.0206166686241,0.780938977545,0.0325094698402,76.9230769231,1.06322195419e-06,0.00515709872229,0.000214683285373
27,NetCoin,1669026.0,,0.0075,111.0,223,25613.0,5.43,0.0165845335077,1.53460760947,0.051389560638,133.333333333,1.1029685693e-06,0.00665058543126,0.000222708828752
28,Applecoin,1621147.0,,0.11,115.0,14,67166.0,11.22,0.0161087764615,4.14311595432,0.134760911639,9.09090909091,1.14271518441e-06,0.00709374288698,0.00023073437213
29,Mintcoin,1614769.0,,9.8e-05,119.0,16,125093.0,17.4,0.0160454004837,7.74680465132,0.25098482446,10204.0816327,1.18246179952e-06,0.00736947513855,0.000238759915509
30,FedoraCoin,1586417.0,,1e-05,123.0,153,226357.0,92.94,0.0157636764758,14.2684426604,0.454159480629,100000.0,1.22220841463e-06,0.00775332084818,0.000246785458887
31,IXCoin,1487580.0,,0.081,127.0,18,1814.0,6.69,0.0147815674264,0.121943021552,0.00363958392212,12.3456790123,1.26195502974e-06,0.00853735597413,0.000254811002266
32,UltraCoin,1305530.0,,0.26,131.0,5,56814.0,13.22,0.0129725996062,4.35179582239,0.113990805376,3.84615384615,1.30170164485e-06,0.0100342389681,0.000262836545644
33,Anoncoin,1292729.0,,1.71,135.0,755,14939.0,8.41,0.0128454005012,1.15561730262,0.0299733981326,0.584795321637,1.34144825996e-06,0.0104430240213,0.000270862089022
34,Terracoin,1287944.0,,0.24,139.0,5,18104.0,11.63,0.0127978536128,1.40565117738,0.0363236093308,4.16666666667,1.38119487507e-06,0.0107923947004,0.000278887632401
35,Unobtanium,1270301.0,,8.18,143.0,155,31871.0,4.52,0.0126225412302,2.5089329222,0.0639455232536,0.122249388753,1.42094149018e-06,0.0112571744807,0.000286913175779
36,Copperlark,1238714.0,,0.19,147.0,6,940.0,16.76,0.0123086721474,0.0758851518591,0.00188600269393,5.26315789474,1.46068810529e-06,0.0118671460886,0.000294938719158
37,MinCoin,1015747.0,,0.63,151.0,1,44791.0,3.1,0.0100931262646,4.40966106718,0.089868028366,1.5873015873,1.50043472041e-06,0.0148659065693,0.000302964262536
38,Mooncoin,1000944.0,,3.7e-05,155.0,26,51803.0,-20.18,0.00994603397868,5.1754144088,0.103936805908,27027.027027,1.54018133552e-06,0.0154853817996,0.000310989805915
39,Particle,938264.0,,0.0014,159.0,688,1823.0,3.4,0.00932320451991,0.194294995865,0.00365764139473,714.285714286,1.57992795063e-06,0.0169461899849,0.000319015349293
40,Kittehcoin,893105.0,,0.00014,163.0,6,19448.0,0.24,0.00887447517197,2.17757150615,0.039020191906,7142.85714286,1.61967456574e-06,0.0182509335408,0.000327040892672
41,SecureCoin,817555.0,,0.64,167.0,1,31263.0,15.83,0.00812376097908,3.82396291381,0.0627256406601,1.5625,1.65942118085e-06,0.0204267602791,0.00033506643605
42,TagCoin,699672.0,,0.76,171.0,915,27486.0,21.12,0.00695239842182,3.92841217027,0.055147521325,1.31578947368,1.69916779596e-06,0.0244400233252,0.000343091979428
43,BBQCoin,681982.0,,0.021,175.0,32,19510.0,16.64,0.0067766190165,2.86077931676,0.0391445878284,47.619047619,1.73891441107e-06,0.0256605013036,0.000351117522807
44,MemoryCoin,681638.0,,0.15,179.0,4,41571.0,-4.13,0.0067732008076,6.09869168092,0.0834074659463,6.66666666667,1.77866102618e-06,0.0262602730482,0.000359143066185
